日期,编号,持有股票,持有股票代码
2021-01-03,96,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-01-09,97,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-01-16,98,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-01-23,99,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-01-30,100,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-02-07,101,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-02-17,102,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-02-19,103,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-02-27,104,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-03-06,105,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-03-13,106,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-03-20,107,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-03-27,108,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-04-03,109,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-04-09,110,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE
2021-04-16,111,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-04-23,112,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-05-05,113,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-05-16,114,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-05-21,115,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-05-28,116,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-06-04,117,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-06-14,118,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-06-18,119,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-06-27,120,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
