日期,编号,持有股票,持有股票代码
2026-01-10,345,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-01-17,346,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-01-24,347,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-01-30,348,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-02-07,349,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-02-16,350,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-03-01,351,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-03-08,352,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2026-03-15,353,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-03-22,354,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-03-28,355,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-04-03,356,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-04-11,357,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-04-18,358,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-04-25,359,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-05-04,360,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE
2026-05-08,361,索通发展|云图控股|利安隆|科新机电|视源股份,603612.XSHG|002539.XSHE|300596.XSHE|300092.XSHE|002841.XSHE
