日期,编号,持有股票,持有股票代码
2024-01-06,246,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2024-01-14,247,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2024-01-21,248,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2024-01-27,249,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2024-02-04,250,太极集团|硅宝科技|国林科技,600129.XSHG|300019.XSHE|300786.XSHE
2024-02-13,251,太极集团|硅宝科技|云南能投|莱美药业,600129.XSHG|300019.XSHE|002053.XSHE|300006.XSHE
2024-02-25,252,太极集团|硅宝科技|云南能投|莱美药业,600129.XSHG|300019.XSHE|002053.XSHE|300006.XSHE
2024-03-01,253,太极集团|硅宝科技|云南能投,600129.XSHG|300019.XSHE|002053.XSHE
2024-03-08,254,太极集团|硅宝科技|云南能投|阳谷华泰,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE
2024-03-17,255,太极集团|硅宝科技|云南能投|阳谷华泰,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE
2024-03-22,256,太极集团|硅宝科技|云南能投|阳谷华泰,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE
2024-03-30,257,太极集团|硅宝科技|云南能投|阳谷华泰,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE
2024-04-03,258,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE
2024-04-12,259,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE
2024-04-20,260,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE
2024-04-28,261,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE
2024-05-12,262,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-05-18,263,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-05-25,264,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-06-01,265,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-06-08,266,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-06-16,267,太极集团|硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展,600129.XSHG|300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG
2024-06-22,268,硅宝科技|云南能投|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|002053.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-06-30,269,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
