日期,编号,持有股票,持有股票代码
2025-01-05,294,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-01-11,295,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-01-18,296,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-01-26,297,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-02-08,298,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-02-15,299,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-02-23,300,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-03-01,301,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2025-03-08,302,硅宝科技|华康股份|索通发展|凌玮科技,300019.XSHE|605077.XSHG|603612.XSHG|301373.XSHE
2025-03-15,303,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-03-22,304,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-03-29,305,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-04-04,306,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-04-12,307,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-04-19,308,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-04-27,309,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-05-01,310,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-05-11,311,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-05-17,312,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-05-23,313,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-05-30,314,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-06-08,315,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-06-16,316,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-06-20,317,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
2025-06-27,318,华康股份|索通发展|凌玮科技|博隆技术,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG
