日期,编号,持有股票,持有股票代码
2024-07-07,270,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-07-13,271,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-07-21,272,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-07-28,273,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-08-04,274,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-08-10,275,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-08-17,276,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-08-25,277,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-08-30,278,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-09-08,279,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-09-13,280,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-09-30,281,硅宝科技|阳谷华泰|双箭股份|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|002381.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-10-13,282,硅宝科技|阳谷华泰|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-10-20,283,硅宝科技|阳谷华泰|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-10-27,284,硅宝科技|阳谷华泰|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-11-02,285,硅宝科技|阳谷华泰|华康股份|索通发展|花园生物,300019.XSHE|300121.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-11-09,286,硅宝科技|华康股份|索通发展|花园生物,300019.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-11-16,287,硅宝科技|华康股份|索通发展|花园生物,300019.XSHE|605077.XSHG|603612.XSHG|300401.XSHE
2024-11-23,288,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2024-11-30,289,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2024-12-07,290,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2024-12-14,291,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2024-12-21,292,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
2024-12-28,293,硅宝科技|华康股份|索通发展,300019.XSHE|605077.XSHG|603612.XSHG
