日期,编号,持有股票,持有股票代码
2022-07-09,171,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-07-15,172,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-07-22,173,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-07-30,174,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-08-05,175,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-08-12,176,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-08-20,177,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-08-27,178,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-09-04,179,再升科技|川环科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-09-10,180,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-09-17,181,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-09-23,182,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-10-06,183,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-10-15,184,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-10-21,185,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-10-29,186,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-11-06,187,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-11-12,188,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-11-19,189,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-11-27,190,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-12-04,191,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-12-10,192,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-12-17,193,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2022-12-23,194,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
