日期,编号,持有股票,持有股票代码
2023-01-02,195,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-01-07,196,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-01-14,197,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-01-22,198,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-02-03,199,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-02-11,200,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-02-18,201,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-02-25,202,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-03-04,203,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-03-11,204,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-03-18,205,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-03-25,206,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-03-31,207,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-04-07,208,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-04-14,209,再升科技|太极集团|涪陵电力|硅宝科技|国林科技,603601.XSHG|600129.XSHG|600452.XSHG|300019.XSHE|300786.XSHE
2023-04-21,210,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-05-02,211,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-05-06,212,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-05-12,213,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-05-19,214,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-05-27,215,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-06-03,216,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-06-11,217,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-06-17,218,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-06-23,219,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-06-30,220,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
