日期,编号,持有股票,持有股票代码
2021-07-04,121,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-07-09,122,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-07-17,123,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-07-23,124,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-07-30,125,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-08-08,126,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-08-13,127,再升科技|太极集团|涪陵电力|鲁西化工|常宝股份,603601.XSHG|600129.XSHG|600452.XSHG|000830.XSHE|002478.XSHE
2021-08-21,128,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-08-28,129,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-09-03,130,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-09-10,131,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-09-21,132,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-09-30,133,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-10-15,134,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-10-22,135,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-10-29,136,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-11-06,137,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-11-13,138,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-11-20,139,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-11-26,140,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-12-03,141,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-12-12,142,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-12-18,143,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-12-24,144,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
2021-12-31,145,再升科技|太极集团|涪陵电力|常宝股份|秦安股份,603601.XSHG|600129.XSHG|600452.XSHG|002478.XSHE|603758.XSHG
