日期,编号,持有股票,持有股票代码
2020-01-02,49,再升科技|涪陵电力|太极集团|秦安股份,603601.XSHG|600452.XSHG|600129.XSHG|603758.XSHG
2020-01-14,50,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-01-20,51,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-02-10,52,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-02-16,53,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-02-22,54,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-02-29,55,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-03-07,56,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-03-15,57,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-03-21,58,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-03-28,59,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-04-05,60,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-04-11,61,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-04-18,62,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-04-26,63,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-05-05,64,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-05-09,65,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-05-15,66,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-05-22,67,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-05-29,68,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-06-06,69,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-06-13,70,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-06-21,71,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-06-21,72,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-07-12,73,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-07-20,74,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-07-26,75,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-08-02,76,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-08-10,77,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-08-16,78,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-08-24,79,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-08-31,80,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG
2020-09-06,81,再升科技|秦安股份|太极集团|涪陵电力,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG
