stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2024-07-01,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159150.XSHE,CN,2023-12-11,易方达深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159300.XSHE,CN,2024-06-05,富国沪深300ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159303.XSHE,CN,2024-06-27,大成恒生医疗保健ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159306.XSHE,CN,2024-05-14,平安中证汽车零部件主题ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159307.XSHE,CN,2024-04-25,博时中证红利低波100ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159309.XSHE,CN,2024-06-18,汇添富中证油气资源ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159310.XSHE,CN,2024-04-30,天弘中证芯片产业ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159315.XSHE,CN,2024-06-14,黄金股ETF工银,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159318.XSHE,CN,2024-06-21,恒生港股通ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159321.XSHE,CN,2024-05-27,华安中证沪深港黄金产业股票ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159322.XSHE,CN,2024-06-14,平安中证沪深港黄金产业ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159350.XSHE,CN,2023-12-11,富国深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159501.XSHE,CN,2023-06-14,嘉实纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159502.XSHE,CN,2024-01-10,嘉实标普生物科技精选行业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159503.XSHE,CN,2023-07-20,鹏扬国证财富管理ETF,ETF,2024-07-19 00:00:00,XSHE
2024-07-01,159505.XSHE,CN,2023-12-04,博时国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159506.XSHE,CN,2023-07-03,富国恒生港股通创新药及医疗保健ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159507.XSHE,CN,2023-06-21,广发国证通信ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159508.XSHE,CN,2023-07-14,华安国证生物医药ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159509.XSHE,CN,2023-08-08,景顺长城纳斯达克科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159510.XSHE,CN,2023-08-16,华夏中证智选300价值稳健策略ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159511.XSHE,CN,2023-08-07,南方中证通信服务ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159512.XSHE,CN,2023-07-25,广发中证全指汽车ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159513.XSHE,CN,2023-07-28,大成纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159515.XSHE,CN,2023-09-06,鹏扬中证国有企业红利ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159516.XSHE,CN,2023-07-27,国泰中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2024-07-01,159517.XSHE,CN,2023-09-05,800增强ETF,ETF,2999-12-31 00:00:00,XSHE
