stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2021-07-01,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159702.XSHE,CN,2021-05-18,汇添富中证人工智能主题ETF,ETF,2022-11-30 00:00:00,XSHE
2021-07-01,159703.XSHE,CN,2021-06-08,天弘中证新材料主题ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159716.XSHE,CN,2021-06-28,华宝深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159721.XSHE,CN,2021-06-25,深证100ETF永赢,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159735.XSHE,CN,2021-06-04,港股消费,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159740.XSHE,CN,2021-05-27,大成恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159741.XSHE,CN,2021-06-03,嘉实恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159742.XSHE,CN,2021-05-25,博时恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159745.XSHE,CN,2021-06-18,国泰中证全指建筑材料ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159755.XSHE,CN,2021-06-24,广发国证新能源车电池ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159801.XSHE,CN,2020-02-18,广发国证半导体芯片ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159803.XSHE,CN,2020-05-26,易方达中证浙江新动能ETF(QDII),ETF,2021-09-28 00:00:00,XSHE
2021-07-01,159804.XSHE,CN,2020-03-31,国寿安保创精选88ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159805.XSHE,CN,2020-04-17,传媒ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159806.XSHE,CN,2020-03-20,国泰中证新能源汽车ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159807.XSHE,CN,2020-03-30,易方达中证科技50ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159808.XSHE,CN,2020-09-04,融通创业板ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159809.XSHE,CN,2020-05-21,博时大湾区ETF,ETF,2021-10-21 00:00:00,XSHE
2021-07-01,159810.XSHE,CN,2020-07-10,浦银安盛创业板ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159811.XSHE,CN,2020-04-22,博时5G50ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159812.XSHE,CN,2020-05-29,前海开源黄金ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159813.XSHE,CN,2020-05-25,芯片,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159814.XSHE,CN,2020-07-17,西部利得创业板大盘ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159815.XSHE,CN,2020-08-18,招商中证浙江100ETF,ETF,2023-04-28 00:00:00,XSHE
2021-07-01,159816.XSHE,CN,2020-09-04,0-4地债,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159819.XSHE,CN,2020-09-23,易方达中证人工智能主题ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159820.XSHE,CN,2020-08-24,天弘中证500ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159821.XSHE,CN,2020-10-29,BOCI创业,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159822.XSHE,CN,2020-10-23,新经济,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159823.XSHE,CN,2020-10-23,嘉实H股50ETF(QDII),ETF,2024-08-19 00:00:00,XSHE
2021-07-01,159824.XSHE,CN,2021-01-11,博时新能源汽车ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159825.XSHE,CN,2020-12-29,富国中证农业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159827.XSHE,CN,2020-12-18,农业50,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159828.XSHE,CN,2021-01-12,国泰中证医疗ETF,ETF,2999-12-31 00:00:00,XSHE
2021-07-01,159835.XSHE,CN,2021-03-29,建信中证创新药产业ETF,ETF,2999-12-31 00:00:00,XSHE
