stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2022-01-04,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159601.XSHE,CN,2021-11-08,华夏MSCI中国A50互联互通ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159602.XSHE,CN,2021-11-08,南方MSCI中国A50互联互通ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159605.XSHE,CN,2021-12-02,广发中证海外中国互联网30(QDII-ETF),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159606.XSHE,CN,2021-12-29,易方达中证500质量成长ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159607.XSHE,CN,2021-12-02,嘉实中证海外中国互联网30ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159608.XSHE,CN,2021-12-23,广发中证稀有金属ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159701.XSHE,CN,2021-12-23,招商中证物联网主题ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159702.XSHE,CN,2021-05-18,汇添富中证人工智能主题ETF,ETF,2022-11-30 00:00:00,XSHE
2022-01-04,159703.XSHE,CN,2021-06-08,天弘中证新材料主题ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159706.XSHE,CN,2021-12-20,深证100ETF华安,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159707.XSHE,CN,2021-11-12,华宝中证800地产ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159708.XSHE,CN,2021-07-02,红利ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159709.XSHE,CN,2021-07-02,物联网ETF工银,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159710.XSHE,CN,2021-08-09,建信中证智能电动汽车ETF,ETF,2024-01-25 00:00:00,XSHE
2022-01-04,159711.XSHE,CN,2021-12-28,华夏中证港股通50ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159712.XSHE,CN,2021-11-11,国泰中证港股通50ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159713.XSHE,CN,2021-08-16,富国中证稀土产业ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159715.XSHE,CN,2021-09-10,易方达中证稀土产业ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159716.XSHE,CN,2021-06-28,华宝深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159717.XSHE,CN,2021-09-29,ESGETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159718.XSHE,CN,2021-12-28,平安中证港股医药ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159719.XSHE,CN,2021-12-28,平安富时中国国企开放共赢ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159720.XSHE,CN,2021-07-20,智能车TK,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159721.XSHE,CN,2021-06-25,深证100ETF永赢,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159723.XSHE,CN,2021-10-15,汇添富中证沪港深科技龙头ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159725.XSHE,CN,2021-07-02,线上消费ETF工银,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159726.XSHE,CN,2021-11-23,华夏恒生港股通中国内地企业高股息率ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159729.XSHE,CN,2021-07-21,汇添富中证沪港深互联网ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159730.XSHE,CN,2021-12-24,博时龙头家电ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159731.XSHE,CN,2021-12-10,华夏中证石化产业ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159732.XSHE,CN,2021-08-23,华夏国证消费电子主题ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159733.XSHE,CN,2021-09-29,景顺长城中证消费电子ETF,ETF,2024-03-06 00:00:00,XSHE
2022-01-04,159735.XSHE,CN,2021-06-04,港股消费,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159736.XSHE,CN,2021-09-27,天弘中证食品饮料ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159739.XSHE,CN,2021-11-17,大数据ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159740.XSHE,CN,2021-05-27,大成恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159741.XSHE,CN,2021-06-03,嘉实恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159742.XSHE,CN,2021-05-25,博时恒生科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159745.XSHE,CN,2021-06-18,国泰中证全指建筑材料ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159747.XSHE,CN,2021-07-14,南方中证香港科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159748.XSHE,CN,2021-12-03,富国中证沪港深创新药产业ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159751.XSHE,CN,2021-12-28,港股科技ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159752.XSHE,CN,2021-07-28,申万菱信中证内地新能源主题ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159755.XSHE,CN,2021-06-24,广发国证新能源车电池ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159757.XSHE,CN,2021-08-09,景顺长城国证新能源车电池ETF,ETF,2999-12-31 00:00:00,XSHE
2022-01-04,159758.XSHE,CN,2021-12-28,华夏中证红利质量ETF,ETF,2999-12-31 00:00:00,XSHE
